benefit_multiplier,repo,gini,tipping_point
1.0,mastodon/mastodon,0.9191,0.9113924050632911
1.0,facebook/react,0.8858,0.7088607594936709
1.0,scikit-learn/scikit-learn,0.8633,0.6075949367088608
1.0,ClusterHQ/flocker,0.8552,0.5569620253164557
1.0,sandstorm-io/sandstorm,0.937,1.0126582278481013
1.0,kubernetes/kubernetes,0.9046,0.810126582278481
1.25,mastodon/mastodon,0.9191,0.7594936708860759
1.25,facebook/react,0.8858,0.6075949367088608
1.25,scikit-learn/scikit-learn,0.8633,0.45569620253164556
1.25,ClusterHQ/flocker,0.8552,0.45569620253164556
1.25,sandstorm-io/sandstorm,0.937,0.9113924050632911
1.25,kubernetes/kubernetes,0.9046,0.7088607594936709
1.5,mastodon/mastodon,0.9191,0.6582278481012658
1.5,facebook/react,0.8858,0.45569620253164556
1.5,scikit-learn/scikit-learn,0.8633,0.35443037974683544
1.5,ClusterHQ/flocker,0.8552,0.3037974683544304
1.5,sandstorm-io/sandstorm,0.937,0.810126582278481
1.5,kubernetes/kubernetes,0.9046,0.5569620253164557
1.75,mastodon/mastodon,0.9191,0.5569620253164557
1.75,facebook/react,0.8858,0.35443037974683544
1.75,scikit-learn/scikit-learn,0.8633,0.25316455696202533
1.75,ClusterHQ/flocker,0.8552,0.20253164556962025
1.75,sandstorm-io/sandstorm,0.937,0.6582278481012658
1.75,kubernetes/kubernetes,0.9046,0.45569620253164556
2.0,mastodon/mastodon,0.9191,0.4050632911392405
2.0,facebook/react,0.8858,0.20253164556962025
2.0,scikit-learn/scikit-learn,0.8633,0.10126582278481013
2.0,ClusterHQ/flocker,0.8552,0.10126582278481013
2.0,sandstorm-io/sandstorm,0.937,0.5569620253164557
2.0,kubernetes/kubernetes,0.9046,0.3037974683544304
2.25,mastodon/mastodon,0.9191,0.3037974683544304
2.25,facebook/react,0.8858,0.10126582278481013
2.25,scikit-learn/scikit-learn,0.8633,0.0
2.25,ClusterHQ/flocker,0.8552,0.0
2.25,sandstorm-io/sandstorm,0.937,0.4050632911392405
2.25,kubernetes/kubernetes,0.9046,0.20253164556962025
2.5,mastodon/mastodon,0.9191,0.20253164556962025
2.5,facebook/react,0.8858,0.0
2.5,scikit-learn/scikit-learn,0.8633,0.0
2.5,ClusterHQ/flocker,0.8552,0.0
2.5,sandstorm-io/sandstorm,0.937,0.35443037974683544
2.5,kubernetes/kubernetes,0.9046,0.10126582278481013
2.75,mastodon/mastodon,0.9191,0.10126582278481013
2.75,facebook/react,0.8858,0.0
2.75,scikit-learn/scikit-learn,0.8633,0.0
2.75,ClusterHQ/flocker,0.8552,0.0
2.75,sandstorm-io/sandstorm,0.937,0.25316455696202533
2.75,kubernetes/kubernetes,0.9046,0.05063291139240506
3.0,mastodon/mastodon,0.9191,0.05063291139240506
3.0,facebook/react,0.8858,0.0
3.0,scikit-learn/scikit-learn,0.8633,0.0
3.0,ClusterHQ/flocker,0.8552,0.0
3.0,sandstorm-io/sandstorm,0.937,0.20253164556962025
3.0,kubernetes/kubernetes,0.9046,0.0
